video_id,video_title,publish_time,viewCount,likeCount,commentCount,duration
hPsUXhXgWmI,Michael Sandel: The lost art of democratic debate,2010-06-08,452294,8927,433,0 days 00:22:15
h9deGh8_tEc,The boost students need to overcome obstacles | Anindya Kundu,2017-10-11,144869,2505,76,0 days 00:07:06
A2DzsgJSwcc,The mysterious microbes living deep inside the earth -- and how they could help humanity | K. Lloyd,2019-07-12,108751,4028,251,0 days 00:14:00
4E_1AB1rsSw,How tech companies deceive you into giving up your data and privacy | Finn Lützow-Holm Myrstad,2018-11-21,121086,3352,225,0 days 00:12:13
oy25A7vnigg,Sting: How I started writing songs again,2014-05-30,947848,17016,1238,0 days 00:23:16
slzuVj5YEms,How can we control the coronavirus pandemic? | Adam Kucharski,2020-03-16,271015,3334,329,0 days 00:03:38
bfAzi6D5FpM,The way we think about charity is dead wrong | Dan Pallotta,2013-03-11,872887,14867,1313,0 days 00:18:55
rJmwZhy9Suk,The discoveries awaiting us in the ocean&#39;s twilight zone | Heidi M. Sosik,2018-07-02,100830,2558,125,0 days 00:10:02
0QVXdEOiCw8,Building a dinosaur from a chicken | Jack Horner,2011-06-07,1160051,17852,2820,0 days 00:16:37
BQj2Z_GPsY8,How we explore unanswered questions in physics | James Beacham,2017-01-20,102518,3004,234,0 days 00:15:55
2_lBiFZ85d0,The world&#39;s largest family reunion ... we&#39;re all invited! | A.J. Jacobs,2014-06-13,97239,1391,76,0 days 00:09:46
0ITuQcoLXeE,24 hours on Earth -- in one image | Stephen Wilkes,2020-11-04,99357,3893,140,0 days 00:02:44
HzAtOyw6ACw,What reading slowly taught me about writing | Jacqueline Woodson,2019-10-08,202618,6036,259,0 days 00:10:55
qsJYrwzfd6w,"Juliana Rotich: Meet BRCK, Internet access built for Africa",2013-06-18,65852,832,108,0 days 00:09:34
4cJ08wOqloc,Alex Laskey: How behavioral science can lower your energy bill,2013-06-04,115484,1829,142,0 days 00:08:12
lfBpsV1Hwqs,The game that can give you 10 extra years of life | Jane McGonigal,2012-07-09,1057858,17278,1297,0 days 00:19:31
2ch5FJAqLMk,How we could teach our bodies to heal faster | Kaitlyn Sadtler,2018-10-11,150714,3093,196,0 days 00:04:58
ewNTwBbLUhM,Why noise is bad for your health -- and what you can do about it | Mathias Basner,2019-02-26,133707,3369,319,0 days 00:10:05
RplnSVTzvnU,How the blockchain will radically transform the economy | Bettina Warburg,2016-12-08,2238491,32626,5602,0 days 00:14:58
r-YXvkWLy-g,A teen scientist&#39;s invention to help wounds heal | Anushka Naiknaware,2018-06-19,240585,10438,471,0 days 00:06:59
rpJx5VLQMxk,What to trust in a &quot;post-truth&quot; world | Alex Edmans,2018-12-03,122372,4443,322,0 days 00:17:48
Vrui-OctNEk,Sean Sherman: Why aren&#39;t there more Native American restaurants? | TED,2021-07-30,205535,11482,1503,0 days 00:18:12
ZQElzjCsl9o,Math is the hidden secret to understanding the world | Roger Antonsen,2016-12-13,1380634,38555,1541,0 days 00:17:05
TSDOXxlT0U0,What Bruce Lee can teach us about living fully | Shannon Lee,2019-11-04,224599,7214,397,0 days 00:11:10
XZBZ5aBEUrs,How technology has changed what it&#39;s like to be deaf | Rebecca Knill,2020-03-24,70835,1816,68,0 days 00:13:59
D3azoUEEy3E,David Kessler: How to find meaning after loss | TED,2021-09-01,66333,1991,140,0 days 00:12:53
LQMLFryA_7k,The search for dark matter -- and what we&#39;ve found so far | Risa Wechsler,2020-01-27,516044,10207,1509,0 days 00:15:44
6UiU99_tE7I,"How we can use the hiring process to bring out the best in people | The Way We Work, a TED series",2020-11-29,80329,2060,164,0 days 00:04:38
IFjD3NMv6Kw,7 principles for building better cities | Peter Calthorpe,2017-08-31,1699236,39916,1447,0 days 00:14:21
U5kIdtMJGc8,The mathematician who cracked Wall Street | Jim Simons,2015-09-25,2254831,27970,1254,0 days 00:23:08
_x1qkuvUxuI,An Ode to Envy | Parul Sehgal | TED Talks,2013-10-23,177211,3021,175,0 days 00:13:11
5Yj3nGv0kn8,Nancy Kanwisher: A neural portrait of the human mind,2014-10-02,138162,2814,124,0 days 00:17:45
7YoLMG2qja4,How technology changes our sense of right and wrong | Juan Enriquez,2021-02-24,85076,3745,296,0 days 00:07:29
I3BJVaioX_k,"In the war for information, will quantum computers defeat cryptographers? | Craig Costello",2019-12-06,141489,4015,352,0 days 00:16:32
ZK7ih4V0erc,Can we edit memories? | Amy Milton,2020-06-14,120935,3807,240,0 days 00:16:07
lw3YTbubyjI,Keith Chen: Could your language affect your ability to save money?,2013-02-19,218724,3135,333,0 days 00:12:14
VmLMMNhxZMU,"How to win an argument (at the US Supreme Court, or anywhere) | Neal Katyal",2020-10-02,241396,10463,771,0 days 00:16:13
XZiNVGA78kA,&quot;Good&quot; and &quot;bad&quot; are incomplete stories we tell ourselves | Heather Lanier,2018-01-19,158699,5003,273,0 days 00:13:37
7s0CpRfyYp8,Daniel Wolpert: The real reason for brains,2011-11-03,297189,4671,337,0 days 00:20:00
cHKs2aVxOmQ,How to deal with your insomnia — and finally get to sleep | Sleeping with Science,2021-12-15,79234,2769,207,0 days 00:01:59
yuy9yQlFZAU,"Patty McCord: 4 lessons the pandemic taught us about work, life and balance | TED",2021-04-06,110822,2715,99,0 days 00:07:55
_lyP_2p5MJc,The beautiful future of solar power | Marjan van Aubel,2019-03-22,183959,5968,437,0 days 00:08:54
Lh9lDWPMWrM,Richard Weller: Could the sun be good for your heart?,2013-01-17,81359,1095,82,0 days 00:13:00
0B543Zkqq88,For the love of fangirls | Yve Blake,2020-03-10,94880,6813,606,0 days 00:12:03
XzZJuEDQ1a0,"Jedidah Isler: How I fell in love with quasars, blazars and our incredible universe",2015-04-21,69045,1455,69,0 days 00:04:20
K5wCfYujRdE,"Tim Harford: Trial, error and the God complex",2011-07-15,311836,5253,382,0 days 00:18:07
